,scan_id,timepoint,peak1,peak2,peak5,peak6,peak1_norm,peak2_norm,peak5_norm,peak6_norm
52,2,1.5,85617.34035841633,43147.20415471752,3676.6343930863063,5274.64636962786,0.9832248721387206,0.9699149016912204,0.9217288246330828,0.9221964248225608
53,2,2.0,86915.46861276387,42378.38877610532,3815.251589483948,5243.361129586248,0.998132506288034,0.9526325422203387,0.9564800269146561,0.9167266483684997
54,2,2.5,85330.70796705202,42131.939852780015,3591.64738879431,5015.231692291534,0.9799332013723757,0.9470925660406113,0.900422661659018,0.8768414813397931
55,2,3.0,85664.1940256274,41633.46215853076,3518.7057717337366,4983.126220346554,0.9837629371003274,0.9358871831360931,0.8821362660667598,0.871228299076924
56,2,3.5,85741.60567614343,41528.76108283587,3586.5363532574383,4988.692026669312,0.9846519282773721,0.9335335860600128,0.8991413298010238,0.8722014006523505
57,2,4.0,86084.79591530783,41206.40690280053,3554.4818033797346,4990.992786127672,0.9885931062865124,0.9262873199585616,0.8911052839438461,0.8726036555142297
58,2,4.5,85422.14875051797,41207.90158899349,3450.991920458615,4877.29729108689,0.9809833023478931,0.9263209193177855,0.8651604664973049,0.8527256254630061
59,2,5.0,85767.26832662449,40879.061370660216,3441.789495842431,4815.952166888338,0.984946636757364,0.9189288522236314,0.862853427200387,0.8420003084935214
60,2,5.5,85881.82464989631,40197.64001336266,3617.3491257252194,4878.9097888823435,0.9862621953326492,0.9036110409836812,0.9068660632158613,0.8530075476238098
61,2,6.0,85749.70998338595,40567.125974512724,3530.178722340155,4886.14695772698,0.9847449977002127,0.9119167921141625,0.8850125241188014,0.8542728630149593
62,2,6.5,84693.7853273538,40831.791248342306,3323.2355580795975,4844.016936071416,0.9726188164784052,0.917866257394161,0.8331320652082226,0.8469070317106706
63,2,7.0,84965.56445972295,40032.213632331135,3489.5884325964394,4839.983054782049,0.9757399132276733,0.8998923872438008,0.8748365762118392,0.8462017653017918
64,2,7.5,85117.32308035296,40394.01623115413,3390.8404218802143,4731.84387222052,0.9774827009589931,0.9080254224877695,0.8500805417191313,0.8272951769633375
65,2,8.0,84640.04300287219,40106.1112826522,3330.2091151328523,4734.162733532564,0.9720016425520058,0.9015535477674202,0.8348803294790174,0.8277005966752522
66,2,8.5,85239.71075872592,40108.19963053198,3422.625783018025,4797.287463552302,0.978888194389598,0.9016004921701503,0.8580491022094493,0.8387370522521214
67,2,9.0,84441.01429253827,40183.3382717063,3319.6472801917544,4720.1745208154625,0.9697160076858584,0.9032895491831255,0.8322324872773198,0.825254957886717
68,2,9.5,83717.42656507576,40119.665401165694,3273.501091847181,4656.642457445626,0.9614063656456227,0.9018582335931434,0.8206636807557567,0.8141472859035055
69,2,10.0,83956.31732021287,40012.309884265465,3208.726376195093,4667.349252532799,0.964149774062557,0.8994449667857063,0.8044247197548443,0.8160192157844456
70,2,10.5,84068.12626647353,39893.97931089205,3375.4937025818526,4680.180667967853,0.9654337819099263,0.8967849894201047,0.8462331334569846,0.818262605124773
71,2,11.0,83414.23757362018,39909.604326952176,3213.526939932542,4596.153601391296,0.9579245597858536,0.8971362273789197,0.8056282166213307,0.8035716751637764
72,2,11.5,83583.6811910477,39867.58405142573,3214.9836695787435,4639.109049945288,0.9598704410568958,0.8961916449383025,0.8059934173894914,0.8110818205474062
73,2,12.0,84111.92330566344,39781.37913317756,3272.2505175460005,4689.630016642035,0.9659367447218671,0.8942538268004653,0.8203501629409554,0.8199146884974915
74,2,12.5,84108.8440659972,40045.4265815443,3377.201840687638,4704.041968570087,0.9659013829013007,0.9001894038544527,0.8466613620922596,0.8224344120223317
75,2,13.0,83463.05558376835,39723.55274833176,3227.5011937348586,4656.810628804744,0.9584851831547303,0.8929539355683067,0.8091315490594307,0.8141766882587096
76,2,13.5,83664.39382316424,39918.94295285563,3258.929569110248,4644.922373394638,0.9607973405267993,0.8973461522767786,0.8170106135509554,0.8120981969498504
77,2,14.0,84154.60763398773,39936.6449138148,3265.751208048822,4612.508469820274,0.9664269292228489,0.8977440783083679,0.8187207920916193,0.8064310898309838
78,2,14.5,83972.65236338777,39825.89796215109,3229.2889559776045,4660.941092942276,0.9643373648084244,0.8952545747393685,0.8095797393918249,0.8148988407962565
79,2,15.0,83928.13315072103,39799.78064344694,3174.6166122829964,4640.696365358419,0.9638261085956207,0.894667478145287,0.7958734336497234,0.8113593399290815
80,3,-4.5,92374.02639005672,41771.99146696166,4235.093474060832,5042.552185764483,1.0088880651141907,0.994068573565021,1.0204246883915264,0.9886830795583761
81,3,-4.0,91877.21573108611,41917.7687238055,4101.423638620634,5144.029214184987,1.0034620123151008,0.9975377064619668,0.9882176070102451,1.008579476713462
82,3,-3.5,91798.7363142618,42018.24336507007,4188.0361350813855,5112.495647525423,1.002604878009221,0.9999287507912831,1.0090864568368416,1.0023967536308034
83,3,-3.0,92659.52544880901,41714.669415987555,4351.88969763912,5126.5077042862495,1.012006220771499,0.9927044525967708,1.048566156999043,1.0051440694579654
84,3,-2.5,89762.8373478785,42270.20838978212,3909.048834448378,5079.2145914259245,0.980369253459423,1.0059248860940946,0.9418658556724809,0.9958714038033293
85,3,-2.0,91405.4126623023,42142.92500496485,4134.56063984597,5063.538891100724,0.9983090867170512,1.0028958609425427,0.9962018024847245,0.9927979007237764
86,3,-1.5,91043.87764181562,42312.85504828972,4132.21832176882,5133.562637848297,0.9943604836135158,1.0069397695483222,0.9956374326051387,1.0065273161122876
87,3,-1.0,90402.79325738545,42403.653913655864,3986.802351137925,5171.373927528008,0.9873587060634977,1.0091005546918133,0.9606001784271567,1.0139408997392745
88,3,-0.5,91960.79694496597,41964.05558178908,4170.161212732594,5179.708756757609,1.0043748672857729,0.9986392175289441,1.004779583286233,1.015575092966581
89,3,0.0,91205.22326089475,42053.91993908868,4052.9408548640763,5061.601286028772,0.9961226636960431,1.000777763725522,0.976535921633015,0.9924179983888212
90,3,0.5,90616.09741966322,40632.40009006261,3807.983008485018,4663.707892329063,0.9896883655140074,0.9669491585048839,0.9175145480573489,0.914403839818577
91,3,1.0,90399.94035807032,39827.04022320526,3757.9220872092624,4518.706497100193,0.9873275473473252,0.9477836146574808,0.9054526183015401,0.8859737074780812
92,3,1.5,91298.3226056301,38888.72360243667,3906.9484133903907,4429.374790300569,0.9971394735228317,0.9254540337109388,0.9413597696753914,0.8684586191404345
93,3,2.0,90157.12634573503,38697.26752039188,3631.0049705160045,4305.63994361029,0.9846755880394874,0.9208978594014342,0.8748725708842896,0.8441981762599844
94,3,2.5,89832.767750085,38140.379960310886,3523.4381808612698,4233.433489271278,0.9811330173758821,0.9076453329346591,0.8489548884324163,0.8300408017777879
95,3,3.0,90702.09517727778,37374.222853674844,3588.6106568442005,4211.780128791637,0.9906276134246436,0.8894127164044472,0.8646578720628624,0.8257952708773372
96,3,3.5,90265.17979033093,36144.83544560294,3542.0397570497744,4069.535374164323,0.985855723137063,0.8601563811380902,0.8534368456080971,0.7979056275231282
97,3,4.0,88793.78453312823,34726.80603500968,3400.0936653408107,3874.9129445927338,0.9697854794541784,0.8264108395931871,0.8192356414817502,0.7597463986383606
98,3,4.5,88211.878500543,33356.103179948856,3326.012576640657,3768.790552772673,0.9634300343768554,0.7937915513078895,0.801386171968135,0.7389391944113107
99,3,5.0,89151.2443129809,33171.25622330685,3522.0633989262797,3874.5806129701273,0.9736895737082156,0.7893926575979192,0.8486236415694578,0.7596812390445737
100,3,5.5,88792.45174754791,32919.088725390284,3489.901378656414,3795.2245939503764,0.9697709230737986,0.78339170394093,0.8408743629023093,0.7441220637746712
101,3,6.0,87996.03342719111,32386.064077923977,3314.9273461721077,3768.5130079395867,0.9610726236746425,0.7707070549123839,0.7987152408739574,0.7388847767533109
102,3,6.5,88640.62568028977,32152.867663161607,3581.021511489938,3815.538654409699,0.9681127133668496,0.7651575654281048,0.8628293052719018,0.7481050008099996
103,3,7.0,87880.21090044864,32066.625870323336,3358.7424745978587,3755.3967752357617,0.9598076364323583,0.7631052271751815,0.8092722779368989,0.7363131033498246
104,3,7.5,86565.6317912234,31162.112383011252,3283.870985627729,3669.7228725139344,0.9454501029808495,0.741580075978744,0.791232365413198,0.719515193311347
105,3,8.0,87602.11301298722,31881.93160449648,3358.387895014696,3650.4224283994718,0.9567703146812356,0.7587099671234466,0.809186843751591,0.7157309939969995
